FilmID,Title,Release Date,DirectorID,Lead Actor/Actress,LanguageID,Industry,GenreID,Budget in Crores,First Day Collection Worldwide  in Crores,Worldwide Collection  in Crores,Overseas Collection in Crores,India Gross Collection in Crores,Verdict,IMDb Rating,Runtime (mins),OTT Platform
1,PK,19-12-2014,101,Aamir Khan,501,Bollywood,601,85.00,26.60,792.00,303.00,489.00,All Time Blockbuster,8.1,153,Netflix
2,Happy New Year,24-10-2014,102,Shah Rukh Khan,501,Bollywood,602,150.00,61.90,397.00,102.00,295.00,Hit,5,180,Netflix
3,Kick,25-07-2014,103,Salman Khan,501,Bollywood,603,100.00,26.40,378.00,68.00,310.00,Super Hit,6,146,Netflix
4,Bang Bang,02-10-2014,104,Hrithik Roshan,501,Bollywood,604,160.00,27.50,340.00,70.00,270.00,Super Hit,5.6,153,Disney+ Hotstar
5,Singham Returns,15-08-2014,105,Ajay Devgn,501,Bollywood,605,80.00,32.10,216.50,16.50,200.00,Super Hit,5.7,142,Netflix
6,Jai Ho,24-01-2014,106,Salman Khan,501,Bollywood,606,65.00,17.80,186.30,36.30,150.00,Above Average,5,135,Disney+ Hotstar
7,Holiday,06-06-2014,107,Akshay Kumar,501,Bollywood,607,50.00,12.10,178.30,24.90,153.40,Hit,7.2,160,Netflix
8,2 States,18-04-2014,108,Arjun Kapoor,501,Bollywood,608,50.00,12.40,173.00,30.80,142.20,Super Hit,6.9,149,Netflix
9,Ek Villain,27-06-2014,109,Sidharth Malhotra,501,Bollywood,609,40.00,16.70,155.00,12.30,142.70,Blockbuster,6.6,129,Netflix
10,Lingaa,12-12-2014,110,Rajinikanth,503,Kollywood,610,100.00,39.00,154.00,30.00,124.00,Below Average,5.6,174,Amazon Prime Video
11,Gunday,14-02-2014,111,Ranveer Singh,501,Bollywood,611,55.00,16.10,130.80,24.70,106.10,Below Average,2.7,152,Amazon Prime Video
12,Humpty Sharma Ki Dulhania,11-07-2014,112,Varun Dhawan,501,Bollywood,608,35.00,9.10,119.60,12.90,106.70,Hit,6,133,Netflix
13,Kaththi,22-10-2014,107,Joseph Vijay,503,Kollywood,606,70.00,25.00,117.50,29.00,88.50,Blockbuster,8.1,166,Amazon Prime Video
14,Race Gurram,11-04-2014,113,Allu Arjun,505,Tollywood,612,50.00,6.80,108.90,6.00,102.90,Blockbuster,7.3,163,Amazon Prime Video
15,Veeram,10-01-2014,114,Ajith Kumar,503,Kollywood,613,45.00,9.00,100.00,19.50,80.50,Blockbuster,6.5,161,Amazon Prime Video
16,Velaiilla Pattadhari,18-07-2014,115,Dhanush,503,Kollywood,610,20.00,4.30,92.00,18.00,74.00,Blockbuster,7.9,133,Amazon Prime Video
17,Kochadaiiyaan,22-05-2014,116,Rajinikanth,503,Kollywood,614,125.00,18.00,90.00,23.00,67.00,Disaster,6.2,118,Amazon Prime Video
18,Action Jackson,05-12-2014,117,Ajay Devgn,501,Bollywood,607,80.00,10.30,88.70,10.70,78.00,Flop,3.4,144,Disney+ Hotstar
19,Anjaan,15-08-2014,118,Suriya,503,Kollywood,607,65.00,11.00,80.40,18.10,62.30,Below Average,5.3,166,Amazon Prime Video
20,Jilla,09-01-2014,119,Mohanlal,503,Kollywood,605,50.00,12.00,80.00,11.00,69.00,Below Average,6.2,185,Amazon Prime Video
21,Main Tera Hero,04-04-2014,120,Varun Dhawan,501,Bollywood,615,40.00,6.60,77.20,8.50,68.70,Above Average,5.1,128,Disney+ Hotstar
22,Heropanti,23-05-2014,121,Tiger Shroff,501,Bollywood,616,25.00,6.50,75.80,4.70,71.10,Super Hit,5.2,146,Amazon Prime Video
23,Manam,23-05-2014,122,Nagarjuna Akkineni,505,Tollywood,617,25.00,3.50,62.00,6.40,55.60,Blockbuster,8,163,Amazon Prime Video
24,Aagadu,19-09-2014,123,Mahesh Babu,505,Tollywood,612,65.00,24.00,62.00,7.80,54.20,Disaster,5.3,165,Amazon Prime Video
25,Govindudu Andari Vaadele,01-10-2014,124,Ram Charan,505,Tollywood,613,30.00,10.00,61.00,3.20,57.80,Above Average,5.7,160,Amazon Prime Video
26,Yevadu,11-01-2014,125,Ram Charan,505,Tollywood,618,40.00,8.60,57.50,2.20,55.30,Below Average,5.9,165,Amazon Prime Video
27,Mr. And Mrs. Ramchari,25-12-2014,126,Yash,507,Sandalwood,619,6.00,4.00,53.00,1.40,51.60,All Time Blockbuster,7.3,156,Amazon Prime Video
28,Maan Karate,28-03-2014,127,Sivakarthikeyan,503,Kollywood,620,15.00,4.10,42.00,10.00,32.00,Super Hit,5.2,153,Amazon Prime Video
29,1 - Nenokkadine,10-01-2014,128,Mahesh Babu,505,Tollywood,618,70.00,23.00,52.50,5.50,47.00,Disaster,8,170,Amazon Prime Video
30,Bangalore Days,30-05-2014,129,Dulquer Salmaan,509,Mollywood,608,10.00,1.90,50.00,17.50,32.50,Blockbuster,8.3,171,Amazon Prime Video
31,Maanikya,01-05-2014,130,V. Ravichandran,507,Sandalwood,606,15.00,3.50,43.00,0.00,43.00,Blockbuster,6.5,165,ZEE5
32,Ugramm,21-02-2014,131,Sri Murali,507,Sandalwood,621,4.00,2.00,31.00,0.00,31.00,Blockbuster,8,132,Amazon Prime Video
33,2,29-11-2018,132,Rajinikanth,503,Kollywood,622,540.00,105.00,701.00,172.00,529.00,Above Average,6,148,Amazon Prime Video
34,Sanju,29-06-2018,101,Ranbir Kapoor,501,Bollywood,623,100.00,54.40,588.50,150.00,438.50,Blockbuster,7.6,155,Netflix
35,Padmaavat,25-01-2018,133,Deepika Padukone,501,Bollywood,624,190.00,25.00,585.00,185.00,400.00,Blockbuster,7.1,163,Amazon Prime Video
36,Simmba,28-12-2018,105,Ranveer Singh,501,Bollywood,605,125.00,20.20,390.00,95.00,295.00,Blockbuster,5.5,158,ZEE5
37,Thugs of Hindostan,07-11-2018,134,Lloyd Owen,501,Bollywood,625,275.00,76.00,327.00,133.50,194.00,Flop,4.1,164,Amazon Prime Video
38,Race 3,15-06-2018,135,Anil Kapoor,501,Bollywood,607,150.00,44.00,300.00,83.00,217.00,Flop,1.9,160,Amazon Prime Video
39,Baaghi 2,28-03-2018,136,Disha Patani,501,Bollywood,626,65.00,25.00,257.00,45.10,211.90,Blockbuster,4.8,137,Disney+ Hotstar
40,Sarkar,07-11-2018,107,Joseph Vijay,503,Kollywood,606,135.00,71.00,252.00,70.00,182.00,Above Average,6.7,163,Amazon Prime Video
41,K.G.F: Chapter 1,21-12-2018,131,Yash,507,Sandalwood,621,50.00,25.00,238.00,10.00,228.00,All Time Blockbuster,8.2,154,Amazon Prime Video
42,Hichki,23-03-2018,137,Rani Mukerji,501,Bollywood,620,30.00,5.00,236.40,177.40,59.00,Super Hit,7.5,116,Amazon Prime Video
43,Badhaai ho,19-10-2018,138,Ayushmann Khurrana,503,Kollywood,620,30.00,8.00,220.00,44.00,176.00,Blockbuster,7.9,124,Disney+ Hotstar
44,Rangasthalam,30-03-2018,128,Ram Charan,505,Tollywood,606,60.00,42.00,218.50,23.50,195.00,Blockbuster,8.2,170,Amazon Prime Video
45,Raazi,11-05-2018,139,Alia Bhatt,501,Bollywood,627,30.00,7.50,195.00,37.00,157.00,Super Hit,7.7,138,Amazon Prime Video
46,Bharat Ane Nenu,19-04-2018,140,Mahesh Babu,505,Tollywood,627,70.00,58.00,190.50,90.50,100.00,Super Hit,7.5,173,Amazon Prime Video
47,Stree,31-08-2018,141,Rajkummar Rao,501,Bollywood,628,25.00,9.00,182.00,15.00,167.00,Blockbuster,7.5,128,Netflix
48,Zero,21-12-2018,142,Shah Rukh Khan,501,Bollywood,608,200.00,23.00,178.00,57.20,120.80,Disaster,5.2,164,Netflix
49,Aravindha Sametha Veera Raghava,10-10-2018,143,N.T. Rama Rao Jr.,505,Tollywood,606,65.00,56.00,158.60,48.80,109.80,Super Hit,7.3,162,Amazon Prime Video
50,Gold,15-08-2018,144,Krishan Tandon,501,Bollywood,629,80.00,38.00,158.00,17.00,141.00,Average,7.3,151,Amazon Prime Video
51,Sonu Ke Titu Ki Sweety,23-02-2018,145,Kartik Aaryan,501,Bollywood,630,25.00,13.00,156.40,17.00,139.40,Blockbuster,7.1,138,Amazon Prime Video
52,Raid,16-03-2018,146,Ajay Devgn,501,Bollywood,621,35.00,12.00,154.10,22.00,132.10,Hit,7.4,122,Disney+ Hotstar
53,Kaala,07-06-2018,147,Rajinikanth,503,Kollywood,606,135.00,40.00,151.70,39.50,112.20,Below Average,6.5,162,Amazon Prime Video
54,Veere Di Wedding,01-06-2018,148,Kareena Kapoor,501,Bollywood,631,30.00,10.70,140.00,35.00,105.00,Average,3.3,135,Amazon Prime Video
55,Geetha Govindam,17-08-2018,149,Vijay Deverakonda,505,Tollywood,608,8.50,16.00,123.00,11.00,112.30,Blockbuster,7.7,142,ZEE5
56,"Naa Peru Surya, Naa Illu India",04-05-2018,150,Allu Arjun,505,Tollywood,606,65.00,40.00,100.30,21.30,79.00,Above Average,6.7,163,Amazon Prime Video
57,Agnyaathavaasi,09-01-2018,143,Pawan Kalyan,505,Tollywood,606,90.00,61.00,96.00,19.00,77.00,Disaster,4.3,158,Amazon Prime Video
58,Chekka Chivantha Vaanam,28-09-2018,151,Arvind Swamy,503,Kollywood,621,35.00,12.00,91.20,30.70,60.50,Super Hit,7.2,146,Amazon Prime Video
59,Thaanaa Serndha Koottam,12-01-2018,152,Suriya,503,Kollywood,632,60.00,16.20,90.20,22.00,68.20,Below Average,6.3,138,Amazon Prime Video
60,Mahanati,11-05-2018,153,Keerthy Suresh,505,Tollywood,633,20.00,3.50,83.50,10.50,73.00,Blockbuster,8.4,177,Amazon Prime Video
61,Kayamkulam Kochunni,19-10-2018,154,Nivin Pauly,509,Mollywood,634,40.00,9.50,71.30,20.30,51.00,Super Hit,6.8,152,Amazon Prime Video
62,Kadaikutty Singam,13-07-2018,155,Karthi,503,Kollywood,606,25.00,7.20,70.10,7.10,63.00,Blockbuster,6.8,149,Disney+ Hotstar
63,Seema Raja,14-09-2018,156,Sivakarthikeyan,503,Kollywood,606,40.00,13.60,65.60,13.00,52.60,Below Average,4.3,158,Amazon Prime Video
64,Vada Chennai,17-10-2018,157,Dhanush,503,Kollywood,621,40.00,10.90,63.00,8.00,55.00,Above Average,8.4,164,Disney+ Hotstar
65,Irumbu Thirai,11-05-2018,158,Vishal,503,Kollywood,607,20.00,2.30,61.70,14.70,47.00,Blockbuster,7.6,160,ZEE5
66,Odiyan,14-12-2018,159,Mohanlal,509,Mollywood,635,50.00,18.30,53.60,13.60,40.00,Flop,5.2,167,Amazon Prime Video
67,The Villain,18-10-2018,160,Shivarajkumar,507,Sandalwood,618,45.00,12.00,52.70,7.20,45.50,Above Average,4.9,176,Amazon Prime Video
68,Njan Prakashan,04-01-2019,161,Fahadh Faasil,509,Mollywood,620,8.00,1.50,52.00,17.50,34.50,Blockbuster,7.7,131,Amazon Prime Video
69,Sandakozhi 2,19-10-2018,162,Vishal,503,Kollywood,606,30.00,5.40,51.90,7.90,44.00,Average,5,155,Amazon Prime Video
70,Devadas,28-09-2018,163,Nagarjuna Akkineni,505,Tollywood,610,35.00,12.00,51.60,3.60,48.00,Average,6.5,159,Amazon Prime Video
71,Thamizh Padam 2,13-07-2018,164,Jiiva,503,Kollywood,631,10.00,4.20,51.00,2.80,48.20,Blockbuster,6.5,143,Amazon Prime Video
72,96,05-10-2018,165,Vijay Sethupathi,503,Kollywood,636,15.00,7.60,50.00,13.50,36.50,Blockbuster,8.5,158,Amazon Prime Video
73,Jai Simha,11-01-2018,110,Nandamuri Balakrishna,505,Tollywood,610,25.00,12.20,49.50,1.50,48.00,Hit,4.7,159,Amazon Prime Video
74,Saamy²,21-09-2018,166,Vikram,503,Kollywood,637,50.00,12.00,49.00,9.00,40.00,Disaster,4.5,156,Amazon Prime Video
75,Vishwaroopam 2,10-08-2018,167,Kamal Haasan,503,Kollywood,618,100.00,7.00,47.70,10.70,37.00,Disaster,5.8,145,Amazon Prime Video
76,Maari 2,21-12-2018,168,Dhanush,503,Kollywood,612,35.00,7.50,47.00,16.50,30.50,Below Average,5.6,143,Disney+ Hotstar
77,Tholi Prema,02-02-2018,169,Varun Tej,505,Tollywood,638,15.00,9.50,44.10,4.10,40.00,Hit,7.2,137,Amazon Prime Video
78,Abrahaminte Santhathikal,22-06-2018,170,Mammootty,509,Mollywood,607,10.00,4.50,42.20,14.10,28.10,Blockbuster,6.7,131,Aha
79,Tik Tik Tik,22-06-2018,171,Jayam Ravi,503,Kollywood,639,20.00,3.00,41.00,15.00,26.00,Hit,5.8,130,Amazon Prime Video
80,Imaikkaa Nodigal,14-09-2018,172,Nayanthara,503,Kollywood,621,10.00,2.00,40.00,10.00,30.00,Blockbuster,7.3,170,Amazon Prime Video
81,Tagaru,23-02-2018,173,Shivarajkumar,507,Sandalwood,640,10.00,7.00,40.00,0.00,40.00,Blockbuster,7.9,129,Amazon Prime Video
82,Sketch,12-01-2018,174,Vikram,503,Kollywood,618,30.00,10.00,40.00,4.00,36.00,Below Average,5.6,137,Amazon Prime Video
83,Taxiwaala,16-11-2018,175,Vijay Deverakonda,505,Tollywood,641,10.00,3.50,38.00,3.00,35.00,Hit,6.8,137,Amazon Prime Video
84,Ratsasan,05-10-2018,176,Vishnu Vishal,503,Kollywood,626,10.00,0.50,36.80,6.90,29.90,Blockbuster,8.3,146,Amazon Prime Video
85,Aadhi,09-02-2018,177,Pranav Mohanlal,509,Mollywood,618,7.00,2.70,36.00,5.00,31.00,Blockbuster,6.4,158,Aha
86,Hello Guru Prema Kosame,18-10-2018,178,Ram Pothineni,505,Tollywood,630,15.00,4.20,35.00,2.00,33.00,Above Average,7,140,Amazon Prime Video
87,Varathan,04-10-2018,179,Fahadh Faasil,509,Mollywood,627,3.50,2.10,34.20,4.10,30.10,Blockbuster,7.5,130,Amazon Prime Video
88,Sailaja Reddy Alludu,15-09-2018,180,Naga Chaitanya Akkineni,505,Tollywood,610,25.00,11.40,32.40,3.50,28.90,Flop,5.1,147,Amazon Prime Video
89,Kolamavu Kokila,17-08-2018,181,Nayanthara,503,Kollywood,642,10.00,4.00,31.30,2.00,29.30,Blockbuster,7.3,140,Disney+ Hotstar
90,Krishnarjuna Yudham,13-04-2018,182,Nani,505,Tollywood,612,25.00,9.70,28.60,2.90,25.70,Flop,5.8,156,Amazon Prime Video
91,Rx 100,12-07-2018,183,Kartikeya Gummakonda,505,Tollywood,619,2.00,1.50,27.30,1.00,26.30,Blockbuster,6.9,153,Amazon Prime Video
92,Theevandi,21-09-2018,184,Tovino Thomas,509,Mollywood,631,5.00,1.70,27.10,2.70,24.40,Super Hit,6.6,144,Amazon Prime Video
93,Srinivasa Kalyanam,10-08-2018,185,Nithiin,505,Tollywood,643,20.00,5.50,25.50,1.60,23.90,Flop,6.1,140,Amazon Prime Video
94,Kalakalapu 2,09-02-2018,186,Jiiva,503,Kollywood,620,10.00,2.50,25.00,2.00,23.00,Hit,5.2,154,Amazon Prime Video
95,U-Turn,13-09-2018,187,Samantha Ruth Prabhu,505,Tollywood,644,15.00,2.00,25.00,2.20,22.80,Hit,6.9,128,Amazon Prime Video
96,Sudani from Nigeria,20-04-2018,188,Soubin Shahir,509,Mollywood,645,2.00,2.00,24.70,3.10,21.00,Blockbuster,8.1,123,Netflix
97,Chalo,02-02-2018,189,Naga Shaurya,505,Tollywood,646,5.00,1.20,24.00,4.80,19.20,Blockbuster,6.3,145,Amazon Prime Video
98,Nota,05-10-2018,190,Vijay Deverakonda,505,Tollywood,647,25.00,7.30,23.50,2.60,20.90,Disaster,6.2,145,Amazon Prime Video
99,Goodachari,03-08-2018,191,Adivi Sesh,505,Tollywood,618,5.00,2.90,23.40,5.50,17.90,Blockbuster,7.8,147,Amazon Prime Video
100,Koode,17-08-2018,129,Prithviraj Sukumaran,509,Mollywood,648,6.00,1.60,23.30,4.40,18.90,Hit,7.6,155,Amazon Prime Video
101,Saakshyam,27-07-2018,192,Sai Srinivas Bellamkonda,505,Tollywood,621,30.00,6.20,22.70,0.75,22.00,Disaster,4.6,166,Amazon Prime Video
102,Nela Ticket,25-05-2018,193,Ravi Teja,505,Tollywood,649,25.00,6.70,20.10,0.50,19.60,Disaster,4.3,120,Amazon Prime Video
103,Touch Chesi Chudu,02-02-2018,194,Ravi Teja,505,Tollywood,632,25.00,8.70,20.00,1.50,18.50,Disaster,4.7,147,Amazon Prime Video
104,Bãhubali 2: The Conclusion,28-04-2017,195,Prabhas,505,Tollywood,606,250.00,217.00,1788.00,371.00,1417.00,All Time Blockbuster,8.2,167,Netflix
105,Secret Superstar,19-10-2017,196,Zaira Wasim,501,Bollywood,650,50.00,5.00,912.60,831.40,81.20,Blockbuster,7.8,150,Amazon Prime Video
106,Tiger Zinda Hai,22-12-2017,197,Salman Khan,501,Bollywood,651,200.00,65.20,558.00,124.20,433.80,Blockbuster,5.9,161,Amazon Prime Video
107,Golmaal Again,20-10-2017,105,Ajay Devgn,501,Bollywood,652,135.00,31.00,308.50,45.70,262.80,Blockbuster,5,140,Amazon Prime Video
108,Hindi Medium,19-05-2017,198,Irrfan Khan,501,Bollywood,620,25.00,3.50,334.00,237.40,96.60,Blockbuster,7.8,132,Amazon Prime Video
109,Toilet - Ek Prem Katha,11-08-2017,199,Akshay Kumar,501,Bollywood,608,75.00,15.00,316.90,130.50,186.40,Super Hit,7.2,155,Amazon Prime Video
110,Raees,25-01-2017,200,Shah Rukh Khan,501,Bollywood,605,100.00,20.40,286.50,95.50,191.00,Above Average,6.6,143,Netflix
111,Mersal,18-10-2017,201,Joseph Vijay,503,Kollywood,607,125.00,50.30,255.00,71.00,184.00,Blockbuster,7.5,172,Netflix
112,Judwaa 2,29-09-2017,120,Varun Dhawan,501,Bollywood,615,65.00,16.00,227.50,35.00,192.50,Super Hit,3.6,145,Netflix
113,Kaabil,25-01-2017,202,Hrithik Roshan,501,Bollywood,609,90.00,10.40,212.80,67.00,145.80,Above Average,7.1,139,Amazon Prime Video
114,Tubelight,23-06-2017,203,Salman Khan,501,Bollywood,653,100.00,21.20,211.20,45.60,165.60,Flop,3.9,136,Amazon Prime Video
115,Badrinath Ki Dulhania,10-03-2017,112,Varun Dhawan,501,Bollywood,608,40.00,12.20,201.00,39.00,162.00,Super Hit,6.1,139,Amazon Prime Video
116,Jolly LLB 2,10-02-2017,204,Akshay Kumar,501,Bollywood,642,85.00,13.20,197.30,34.80,162.50,Hit,7.2,137,Disney+ Hotstar
117,Mom,07-07-2017,205,Sridevi,501,Bollywood,654,35.00,3.00,178.50,126.70,51.80,Hit,7.2,146,Netflix
118,Khaidi No. 150,13-01-2017,206,Chiranjeevi,505,Tollywood,655,65.00,50.00,160.00,16.30,143.70,Blockbuster,5.8,142,Amazon Prime Video
119,Jab Harry Met Sejal,04-08-2017,207,Shah Rukh Khan,501,Bollywood,608,90.00,15.20,153.40,64.10,89.30,Below Average,5.1,143,Amazon Prime Video
120,Jai Lava Kusa,03-03-2020,208,N.T. Rama Rao Jr.,505,Tollywood,627,60.00,46.00,130.00,10.20,119.80,Above Average,6.8,150,Amazon Prime Video
121,Vivegam,25-08-2017,114,Ajith Kumar,503,Kollywood,618,120.00,35.00,126.00,34.00,92.00,Flop,5.2,149,Amazon Prime Video
122,Spyder,27-09-2017,107,Mahesh Babu,505,Tollywood,607,120.00,51.00,125.00,23.00,102.00,Flop,6.3,155,Amazon Prime Video
123,Baadshaho,01-09-2017,209,Ajay Devgn,501,Bollywood,651,85.00,12.60,123.40,15.00,108.40,Below Average,4.9,124,Netflix
124,Duvvada Jagannadham,22-06-2017,210,Allu Arjun,505,Tollywood,632,50.00,33.00,117.10,12.30,104.80,Above Average,5.9,152,Amazon Prime Video
125,Fukrey Returns,08-12-2017,211,Pulkit Samrat,501,Bollywood,631,25.00,8.10,112.20,4.00,108.20,Super Hit,6.5,141,Amazon Prime Video
126,Bairavaa,12-01-2017,212,Joseph Vijay,503,Kollywood,618,60.00,27.00,110.00,30.40,79.60,Average,5.8,169,Amazon Prime Video
127,Singam 3,10-02-2017,213,Suriya,503,Kollywood,607,65.00,20.00,106.00,26.00,80.00,Below Average,6,155,Amazon Prime Video
128,Katamarayudu,24-03-2017,214,Pawan Kalyan,505,Tollywood,612,70.00,35.00,97.80,7.50,90.30,Below Average,5.5,146,Amazon Prime Video
129,Half Girlfriend,19-05-2017,109,Shraddha Kapoor,501,Bollywood,636,50.00,10.30,97.60,16.30,81.30,Average,4.6,135,Amazon Prime Video
130,Mubarakan,28-07-2017,215,Anil Kapoor,501,Bollywood,630,60.00,5.10,93.10,16.30,76.80,Average,5.6,156,Netflix
131,Fidaa,21-07-2017,216,Varun Tej,505,Tollywood,608,15.00,8.90,87.00,13.10,73.90,Blockbuster,7.4,144,Disney+ Hotstar
132,Jagga Jasoos,14-07-2017,217,Ranbir Kapoor,501,Bollywood,656,120.00,8.50,83.30,8.10,75.20,Disaster,6.4,161,Disney+ Hotstar
133,Velaikkaran,22-12-2017,218,Sivakarthikeyan,503,Kollywood,627,40.00,7.50,85.40,21.00,64.40,Super Hit,7.2,160,Amazon Prime Video
134,Gautamiputra Satakarni,20-01-2017,219,Nandamuri Balakrishna,505,Tollywood,657,45.00,21.00,78.60,11.10,67.50,Hit,6.3,131,Amazon Prime Video
135,Raajakumara,24-03-2017,126,Puneeth Rajkumar,507,Sandalwood,606,20.00,7.30,75.00,0.20,74.80,All Time Blockbuster,7.9,148,Amazon Prime Video
136,Sachin,26-05-2017,220,Sachin Tendulkar,501,Bollywood,658,35.00,8.60,70.80,5.70,65.10,Hit,8.5,138,Amazon Prime Video
137,MCA Middle Class Abbayi,21-12-2017,221,Nani,505,Tollywood,612,25.00,15.50,70.00,7.00,63.00,Super Hit,6,144,Amazon Prime Video
138,Shubh Mangal Saavdhan,01-09-2017,222,Ayushmann Khurrana,501,Bollywood,630,20.00,2.70,64.00,4.60,59.40,Hit,6.9,119,Amazon Prime Video
139,Vikram Vedha,21-07-2017,223,Madhavan,503,Kollywood,621,15.00,3.10,63.20,3.20,60.00,Blockbuster,8.2,147,ZEE5
140,The Ghazi Attack,17-02-2017,224,Rana Daggubati,505,Tollywood,659,20.00,5.90,62.00,5.00,57.00,Super Hit,7.5,116,Amazon Prime Video
141,Theeran Adhigaaram Ondru,17-11-2017,225,Karthi,503,Kollywood,607,25.00,4.50,60.30,9.20,51.10,Super Hit,8.2,157,Amazon Prime Video
142,Nenu Local,03-02-2017,178,Nani,505,Tollywood,615,20.00,9.70,60.00,9.20,50.80,Blockbuster,6.4,138,ZEE5
143,Bareilly Ki Barfi,18-08-2017,226,Ayushmann Khurrana,501,Bollywood,630,20.00,3.10,58.50,10.70,47.80,Hit,7.5,116,Netflix
144,Naam Shabana,01-01-2020,227,Akshay Kumar,501,Bollywood,627,25.00,5.10,57.60,6.50,51.10,Below Average,6.2,147,Amazon Prime Video
145,Tumhari Sulu,24-11-2017,228,Vidya Balan,501,Bollywood,620,20.00,2.80,56.40,10.10,46.30,Hit,7,150,Amazon Prime Video
146,Shatamanam Bhavati,14-01-2017,185,Sharwanand,505,Tollywood,647,15.00,6.50,53.50,5.20,48.30,Blockbuster,7,129,Amazon Prime Video
147,Velaiilla Pattadhari 2,11-08-2017,116,Dhanush,503,Kollywood,612,30.00,6.90,53.50,6.00,47.50,Flop,5.4,128,Amazon Prime Video
148,Ninnu Kori,07-07-2017,229,Nani,505,Tollywood,630,20.00,10.60,52.30,7.70,44.60,Blockbuster,7.5,137,Amazon Prime Video
149,Raja the Great,13-10-2017,230,Ravi Teja,505,Tollywood,612,30.00,7.20,51.70,2.40,49.30,Hit,6.3,149,Amazon Prime Video
150,Arjun Reddy,07-12-2023,231,Vijay Deverakonda,505,Tollywood,619,5.00,8.20,50.00,11.60,38.40,Blockbuster,7.9,182,Amazon Prime Video
151,Munthirivallikal Thalirkkumbol,20-01-2017,232,Mohanlal,509,Mollywood,630,10.00,2.60,50.00,15.00,35.00,Blockbuster,6.9,154,Sun NXT
152,Rarandoi Veduka Chudham,26-05-2017,193,Avantika,505,Tollywood,616,25.00,6.90,50.00,3.60,46.40,Above Average,5.6,145,Amazon Prime Video
153,Phillauri,24-03-2017,233,Anushka Sharma,501,Bollywood,660,25.00,4.10,49.70,12.10,37.60,Average,6.1,138,Amazon Prime Video
154,Ezra,10-02-2017,234,Prithviraj Sukumaran,509,Mollywood,661,8.00,1.60,48.60,8.10,40.50,Blockbuster,6.6,147,Amazon Prime Video
155,Munna Michael,21-07-2017,121,Tiger Shroff,501,Bollywood,662,45.00,6.70,48.20,2.60,45.60,Flop,3.4,140,Amazon Prime Video
156,The Great Father,30-03-2017,235,Mammootty,509,Mollywood,626,10.00,4.30,46.60,11.80,34.80,Super Hit,6.8,151,Amazon Prime Video
157,Mahanubhavudu,29-09-2017,180,Sharwanand,505,Tollywood,608,15.00,7.00,45.30,5.20,40.10,Blockbuster,6.4,151,Google Play Movies
158,Hebbuli,22-04-2017,236,V. Ravichandran,507,Sandalwood,627,20.00,6.50,45.00,0.00,45.00,Blockbuster,6.6,141,ZEE5
159,Anjaniputra,21-12-2017,237,Puneeth Rajkumar,507,Sandalwood,616,20.00,5.00,45.00,0.00,45.00,Super Hit,5.9,149,Amazon Prime Video
160,Nene Raju Nene Mantri,11-08-2017,238,Rana Daggubati,505,Tollywood,663,20.00,8.10,44.80,4.80,40.00,Super Hit,5.8,153,Amazon Prime Video
161,Ramaleela,27-10-2017,239,Dileep,509,Mollywood,664,14.00,2.10,40.80,8.70,32.10,Blockbuster,7.3,158,Amazon Prime Video
162,Kaatru Veliyidai,07-04-2017,151,Karthi,503,Kollywood,619,30.00,12.00,40.80,8.80,32.00,Below Average,5.8,146,Amazon Prime Video
163,Jomonte Suvisheshangal,03-02-2017,161,Dulquer Salmaan,509,Mollywood,620,12.00,2.70,38.40,8.60,29.80,Super Hit,6.6,156,Amazon Prime Video
164,Guru,31-03-2017,240,Venkatesh Daggubati,505,Tollywood,665,15.00,4.10,38.10,1.20,36.90,Super Hit,7.6,116,Amazon Prime Video
165,Hello,21-12-2017,122,Akhil Akkineni,505,Tollywood,616,30.00,4.20,36.70,6.40,30.30,Below Average,7.3,131,Amazon Prime Video
166,Jaya Janaki Nayaka,11-08-2017,241,Sai Srinivas Bellamkonda,505,Tollywood,616,35.00,6.40,36.20,0.80,35.40,Flop,5.1,149,Amazon Prime Video
167,Paisa Vasool,01-09-2017,242,Nandamuri Balakrishna,505,Tollywood,612,30.00,14.10,36.00,1.50,34.50,Flop,4.3,138,Amazon Prime Video
168,Raju Gari Gadhi 2,12-10-2017,243,Samantha Ruth Prabhu,505,Tollywood,641,25.00,8.40,35.60,2.20,33.40,Average,5.3,117,Amazon Prime Video
