FilmID,Title,Release Date,DirectorID,Lead Actor/Actress,LanguageID,Industry,GenreID,Budget in Crores,First Day Collection Worldwide  in Crores,Worldwide Collection  in Crores,Overseas Collection in Crores,India Gross Collection in Crores,Verdict,IMDb Rating,Runtime (mins),OTT Platform
256,Sooryavanshi,05-11-2021,105,Akshay Kumar,501,Bollywood,621,180.00,39.50,293.00,62.20,230.80,Hit,5.9,145,Netflix
257,Master,13-01-2021,296,Joseph Vijay,503,Kollywood,621,135.00,49.78,223.00,44.25,178.75,Super Hit,7.4,179,Amazon Prime Video
258,83,23-12-2021,297,Ranveer Singh,501,Bollywood,692,200.00,27.60,193.00,64.00,129.00,Flop,7.5,162,Disney+ Hotstar
259,Annaatthe,04-11-2021,114,Rajinikanth,503,Kollywood,610,180.00,50.70,172.00,47.70,124.30,Flop,4,163,Netflix
260,Vakeel Saab,09-04-2021,221,Pawan Kalyan,505,Tollywood,621,75.00,51.50,137.50,10.20,127.30,Hit,6.9,153,Amazon Prime Video
261,Akhanda,02-12-2021,241,Nandamuri Balakrishna,505,Tollywood,606,50.00,29.60,117.00,13.70,103.30,Hit,6.8,167,Disney+ Hotstar
262,Doctor,09-10-2021,181,Sivakarthikeyan,503,Kollywood,693,40.00,13.50,100.50,20.00,80.50,Blockbuster,7.4,148,Netflix
263,Uppena,12-02-2021,298,Panja Vaisshnav Tej,505,Tollywood,619,25.00,16.90,84.10,2.50,81.60,Blockbuster,6.5,147,Netflix
264,Maanaadu,25-11-2021,264,Silambarasan Rajendar,503,Kollywood,639,35.00,8.40,80.70,17.00,63.70,Blockbuster,8.2,147,SonyLIV
265,Kurup,12-11-2021,299,Dulquer Salmaan,509,Mollywood,694,35.00,18.30,78.90,35.00,43.90,Super Hit,7,140,Amazon Prime Video
266,Roberrt,11-03-2021,300,Darshan Thoogudeep,507,Sandalwood,695,30.00,16.90,69.50,0.00,69.50,Super Hit,5.9,166,Amazon Prime Video
267,Jathi Ratnalu,11-03-2021,301,Naveen Polishetty,505,Tollywood,631,15.00,8.50,68.00,11.00,57.00,Blockbuster,7.3,145,Amazon Prime Video
268,Krack,09-01-2021,253,Ravi Teja,505,Tollywood,621,35.00,1.40,60.15,1.40,58.75,Blockbuster,6.9,154,Aha
269,Love Story,24-09-2021,216,Naga Chaitanya Akkineni,505,Tollywood,638,30.00,16.00,59.00,13.40,45.60,Hit,6.8,155,Amazon Prime Video
270,Antim: The Final Truth,25-11-2021,302,Salman Khan,501,Bollywood,605,50.00,8.90,58.50,11.70,46.80,Below Average,6.2,138,ZEE5
271,Karnan,09-04-2021,303,Dhanush,503,Kollywood,606,40.00,13.55,55.00,4.50,50.50,Hit,8,158,Amazon Prime Video
272,Bellbottom,19-08-2021,304,Akshay Kumar,501,Bollywood,618,160.00,2.75,53.70,14.30,39.40,Disaster,6.1,123,Amazon Prime Video
273,Shyam Singha Roy,24-12-2021,175,Nani,505,Tollywood,636,40.00,12.00,49.00,5.50,43.50,Average,7.6,155,Netflix
274,Pogaru,19-02-2021,305,Dhruva Sarja,507,Sandalwood,637,25.00,10.25,45.10,0.00,45.10,Average,3.6,160,Amazon Prime Video
275,Marakkar: Lion of the Arabian Sea,02-12-2021,290,Mohanlal,509,Mollywood,696,100.00,20.30,45.40,23.00,22.40,Disaster,5.9,181,Amazon Prime Video
276,Sulthan,02-04-2021,285,Karthi,503,Kollywood,606,30.00,8.55,45.00,10.00,35.00,Below Average,6.2,145,Amazon Prime Video
277,Kotigobba 3,14-10-2021,306,Sudeep,507,Sandalwood,619,25.00,6.90,39.10,0.00,39.10,Below Average,5.5,140,Amazon Prime Video
278,Yuvarathnaa,01-04-2021,126,Puneeth Rajkumar,507,Sandalwood,606,25.00,10.05,38.70,0.70,38.00,Below Average,6.3,161,Amazon Prime Video
279,Most Eligible Bachelor,15-10-2021,307,Akhil Akkineni,505,Tollywood,636,30.00,8.10,38.00,4.30,33.70,Below Average,6.2,170,Netflix
280,Red,14-01-2021,246,Ram Pothineni,505,Tollywood,626,20.00,9.40,31.20,0.50,30.70,Average,6.4,146,Amazon Prime Video
281,The Priest,11-03-2021,308,Mammootty,509,Mollywood,661,15.00,2.55,28.50,10.10,18.40,Super Hit,6,140,Amazon Prime Video
282,Rang De,26-03-2021,169,Nithiin,505,Tollywood,608,25.00,6.50,27.00,4.00,23.00,Flop,6.3,130,ZEE5
283,Aranmanai 3,14-10-2021,186,Arya,503,Kollywood,697,15.00,4.20,24.00,1.00,23.00,Below Average,4.1,155,Amazon Prime Video
284,Enemy,04-11-2021,190,Vishal,503,Kollywood,627,30.00,7.50,25.00,5.00,20.00,Disaster,6.1,159,Amazon Prime Video
285,Salaga,20-08-2021,309,Duniya Vijay,507,Sandalwood,607,10.00,5.50,22.00,0.00,22.00,Hit,6.9,124,Amazon Prime Video
286,RRR (Rise Roar Revolt),25-03-2022,195,N.T. Rama Rao Jr.,505,Tollywood,698,550.00,223.00,1230.00,314.15,915.85,Blockbuster,7.8,187,Netflix
287,K.G.F: Chapter 2,13-04-2022,131,Yash,507,Sandalwood,621,100.00,159.00,1215.00,214.15,1000.85,All Time Blockbuster,8.2,166,Amazon Prime Video
288,Ponniyin Selvan: Part One,30-09-2022,310,Vikram,503,Kollywood,698,250.00,80.70,488.36,175.00,313.36,Blockbuster,7.6,167,Amazon Prime Video
289,Brahmastra Part One: Shiva,09-09-2022,311,Amitabh Bachchan,501,Bollywood,673,400.00,70.00,431.00,115.50,315.50,Below Average,5.6,167,Disney+ Hotstar
